Coral_ID,Depth,O2,pH,Species,Treatment,Condition,Location,Experiment
5,90,269.3652954,8.063264847,Acropora,Pr,Dark,tissue,Shikine
5,100,270.6385803,8.090000153,Acropora,Pr,Dark,tissue,Shikine
5,110,272.2349854,8.090000153,Acropora,Pr,Dark,tissue,Shikine
5,120,272.5918274,8.098163605,Acropora,Pr,Dark,tissue,Shikine
5,130,272.3651123,8.097143173,Acropora,Pr,Dark,tissue,Shikine
5,140,273.6122437,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,150,272.8416443,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,160,272.3348999,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,170,272.7348938,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,180,273.3187866,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,190,273.3195801,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,200,272.7312317,8.100000381,Acropora,Pr,Dark,tissue,Shikine
5,0,263.9573364,8,Acropora,Pr,Dark,interface_tissue,Shikine
5,10,266.1389771,8.020000458,Acropora,Pr,Dark,interface_tissue,Shikine
5,20,267.9467468,8.050000191,Acropora,Pr,Dark,interface_tissue,Shikine
5,30,269.9512329,8.069999695,Acropora,Pr,Dark,interface_tissue,Shikine
5,40,270.6283569,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,50,271.948761,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,60,272.3061218,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,70,272.427948,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,80,273.0191956,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,90,273.0869446,8.093673706,Acropora,Pr,Dark,interface_tissue,Shikine
5,100,272.9724426,8.092041016,Acropora,Pr,Dark,interface_tissue,Shikine
5,110,272.9750977,8.093877792,Acropora,Pr,Dark,interface_tissue,Shikine
5,120,273.3430481,8.094285965,Acropora,Pr,Dark,interface_tissue,Shikine
5,130,273.1567383,8.097755432,Acropora,Pr,Dark,interface_tissue,Shikine
5,140,273.5932617,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,150,273.491394,8.093400002,Acropora,Pr,Dark,interface_tissue,Shikine
5,160,272.6434631,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,170,273.1322327,8.092653275,Acropora,Pr,Dark,interface_tissue,Shikine
5,180,275.0187683,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,190,272.7822571,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,200,272.6001892,8.090000153,Acropora,Pr,Dark,interface_tissue,Shikine
5,0,254.0512238,7.829999924,Acropora,Pr,Dark,interface_algae,Shikine
5,10,254.4373474,7.820000172,Acropora,Pr,Dark,interface_algae,Shikine
5,20,252.8091888,7.825510025,Acropora,Pr,Dark,interface_algae,Shikine
5,30,254.7328644,7.861632824,Acropora,Pr,Dark,interface_algae,Shikine
5,40,259.0075378,7.920408249,Acropora,Pr,Dark,interface_algae,Shikine
5,50,262.359375,7.970203876,Acropora,Pr,Dark,interface_algae,Shikine
5,60,267.2113953,8.0145998,Acropora,Pr,Dark,interface_algae,Shikine
5,70,269.1798096,8.039591789,Acropora,Pr,Dark,interface_algae,Shikine
5,80,272.0046997,8.050816536,Acropora,Pr,Dark,interface_algae,Shikine
5,90,272.4065247,8.06000042,Acropora,Pr,Dark,interface_algae,Shikine
5,100,272.1906128,8.06000042,Acropora,Pr,Dark,interface_algae,Shikine
5,110,272.2638855,8.069999695,Acropora,Pr,Dark,interface_algae,Shikine
5,120,272.89328,8.069999695,Acropora,Pr,Dark,interface_algae,Shikine
5,130,272.8614197,8.069999695,Acropora,Pr,Dark,interface_algae,Shikine
5,140,272.8208313,8.071224213,Acropora,Pr,Dark,interface_algae,Shikine
5,150,273.3018494,8.079999924,Acropora,Pr,Dark,interface_algae,Shikine
5,160,273.2253113,8.079999924,Acropora,Pr,Dark,interface_algae,Shikine
